Route,Route Name,Service Type,Operator,Contract ID,Contract Region,Directions,Variant Count,Minimum Distance (km),Maximum Distance (km),Average Distance (km),Data Generated Date,Source URL
744,Blacktown - Blacktown Industrial Area(Bessemer St),Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,2,3.39,4.22,3.8,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
745,Bella Vista to St Marys via Plumpton,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,13,12.04,33.48,26.2,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
746,Riverstone to Rouse Hill via Box Hill,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,10,10.89,24.4,17.45,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
747,Mt Druitt to Rouse Hill via MarsdenPark/Riverstone,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,20,4.95,37.47,23.35,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
748,Rouse Hill to Marsden Park via Schofields,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,6,13.86,14.41,14.07,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
750,Mt Druitt - Blacktown via Carlisle Avenue,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,12,5.53,15.19,12.31,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
751,Blacktown to Marsden Park via Colebee,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,5,19.15,20.36,19.63,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
752,Blacktown - Rouse Hill,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,15,11.93,22.66,17.04,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
753,Blacktown - Doonside via Tallagandra,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,18,9.56,20.11,15.81,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
754,Blacktown - Mt Druitt Via Hassle Grove,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,36,7.86,21.26,14.73,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
755,MtDruitt - Plumpton Market Place via Shalvey,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,7,7.55,13.55,10.13,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
756,Mt Druitt to Blacktown via Plumpton & Woodcroft,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,22,7.87,19.27,15.49,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
758,MtDruitt - StMarys Via Shalvey/Tregear,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,19,6.59,15.77,12.04,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
